message_id,channel_name,image_category,confidence_score
22682,Lobelia,product_display,0.9407469630241394
22683,Lobelia,product_display,0.5879682898521423
22685,Lobelia,other,0.0
22686,Lobelia,other,0.0
22687,Lobelia,product_display,0.9044639468193054
22688,Lobelia,other,0.0
22689,Lobelia,other,0.2554706931114197
22690,Lobelia,other,0.3583032786846161
22691,Lobelia,other,0.0
22692,Lobelia,product_display,0.5707799792289734
22693,Lobelia,other,0.0
22694,Lobelia,product_display,0.5016950964927673
22695,Lobelia,product_display,0.47455230355262756
22696,Lobelia,other,0.0
22697,Lobelia,product_display,0.5016950964927673
22698,Lobelia,other,0.0
22699,Lobelia,other,0.0
22700,Lobelia,other,0.0
22701,Lobelia,other,0.0
22702,Lobelia,other,0.5860733389854431
22703,Lobelia,other,0.0
22704,Lobelia,other,0.0
22705,Lobelia,other,0.0
22706,Lobelia,other,0.0
22707,Lobelia,product_display,0.8006815314292908
22708,Lobelia,other,0.0
22709,Lobelia,product_display,0.7326334714889526
22710,Lobelia,lifestyle,0.45732709765434265
22711,Lobelia,product_display,0.8699764609336853
22712,Lobelia,product_display,0.4841199517250061
22713,Lobelia,product_display,0.5879682898521423
22714,Lobelia,other,0.2700817584991455
22715,Lobelia,other,0.0
22716,Lobelia,product_display,0.807584285736084
22717,Lobelia,other,0.31957945227622986
22718,Lobelia,lifestyle,0.6241411566734314
22719,Lobelia,lifestyle,0.6789199113845825
22720,Lobelia,other,0.0
22721,Lobelia,product_display,0.31385934352874756
22722,Lobelia,product_display,0.5716465711593628
22723,Lobelia,product_display,0.8543920516967773
22724,Lobelia,product_display,0.822415828704834
22725,Lobelia,product_display,0.5305018424987793
22726,Lobelia,product_display,0.32016825675964355
22727,Lobelia,product_display,0.8953954577445984
22728,Lobelia,other,0.0
22729,Lobelia,other,0.0
22730,Lobelia,product_display,0.8308453559875488
22731,Lobelia,other,0.0
22732,Lobelia,other,0.3179363012313843
22733,Lobelia,other,0.0
22734,Lobelia,other,0.0
22735,Lobelia,product_display,0.2755943238735199
22736,Lobelia,other,0.31957945227622986
22737,Lobelia,lifestyle,0.6241411566734314
22738,Lobelia,lifestyle,0.6789199113845825
22739,Lobelia,other,0.0
22740,Lobelia,other,0.2700817584991455
22741,Lobelia,other,0.0
22742,Lobelia,other,0.0
22743,Lobelia,product_display,0.8006815314292908
22744,Lobelia,product_display,0.7326334714889526
22745,Lobelia,lifestyle,0.45732709765434265
22746,Lobelia,product_display,0.8699764609336853
22747,Lobelia,product_display,0.4841199517250061
22748,Lobelia,product_display,0.5879682898521423
22749,Lobelia,other,0.0
22750,Lobelia,product_display,0.8308453559875488
22751,Lobelia,other,0.0
22752,Lobelia,other,0.0
22753,Lobelia,other,0.31957945227622986
22754,Lobelia,other,0.0
22755,Lobelia,other,0.4579499363899231
22756,Lobelia,other,0.4999709129333496
22757,Lobelia,other,0.3571457266807556
22758,Lobelia,product_display,0.5191170573234558
22759,Lobelia,other,0.0
22760,Lobelia,other,0.0
22761,Lobelia,other,0.0
22762,Lobelia,other,0.0
